pay_period,emp_no,basic_sal,housing_all,trans_all,ot_hours_weekday,ot_hours_friday,ot_rate,gross_pay,eos_gratuity_calculated,remarks
2024-04,EMP001,12000,4000,1000,10,4,10.0,17050,4000,OT rate low
2024-04,EMP002,18000,6000,1500,5,2,22.5,25850,90000,OK
2024-04,EMP003,9500,3000,800,12,5,9.5,14000,4275,OT rate low
2024-04,EMP004,15000,5000,1200,8,3,15.0,21500,18000,EOS wrong
2024-04,EMP005,25000,8000,2000,0,0,31.25,35000,225000,OK
2024-04,EMP006,8000,2500,800,6,2,9.5,11800,0,No gratuity
2024-04,EMP007,20000,6500,1500,10,4,20.0,29450,39200,EOS low
2024-04,EMP008,22000,7000,1500,0,0,27.5,30500,73333,OK
2024-04,EMP009,10000,3200,1000,8,3,11.0,15100,10000,OT rate low
2024-04,EMP010,28000,9000,2000,0,0,35.0,39000,205333,OK
2024-04,EMP011,7500,2200,700,14,5,7.5,11800,0,OT low
2024-04,EMP012,16000,5200,1200,0,0,20.0,23200,31200,EOS low
2024-04,EMP013,23000,7500,1500,10,4,23.0,32850,82333,OK
2024-04,EMP014,11000,3500,1000,0,0,13.75,15500,15200,OK
2024-04,EMP015,7000,2000,600,0,0,8.75,9600,0,New
2024-04,EMP016,60000,20000,5000,0,0,75.0,85000,549000,OK
2024-04,EMP017,9500,3000,800,6,2,11.5,13800,2850,EOS low
2024-04,EMP018,8500,2700,900,12,4,8.5,12950,0,OT low
2024-04,EMP019,12000,4000,1000,4,2,14.0,16900,0,New hire
2024-04,EMP020,45000,15000,3000,0,0,56.25,63000,414000,OK
2024-04,EMP021,35000,12000,2000,8,0,43.75,49880,0,Probation
2024-04,EMP022,9800,3000,800,5,2,11.5,13800,9800,New
2024-04,EMP023,14500,4500,1000,0,0,18.125,19500,120625,OK
2024-04,EMP024,11000,3500,900,6,3,12.5,16100,11000,New
2024-04,EMP025,19000,5500,1200,4,0,23.75,24800,163333,OK
2024-04,EMP026,15000,4500,1000,5,2,18.75,20500,84000,OK
2024-04,EMP027,26000,8000,1800,0,0,32.5,35800,247667,OK
2024-04,EMP028,10500,3200,850,3,1,12.375,14400,47250,New
2024-04,EMP029,17000,5000,1100,7,3,21.25,23400,120000,OK
2024-04,EMP030,10000,3100,800,4,2,11.5,14400,10000,New
